Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend
BAJFINANCE,EQ,2017-05-15,1314.75,1323,1348.5,1317.65,1332,1332.95,1335.96,634195,847257919.7,16701,188623,29.74,2017,5,0,No change
BAJFINANCE,EQ,2017-05-16,1332.95,1337.4,1358.8,1327.2,1346,1347.75,1344.96,788530,1060542484,22552,274106,34.76,2017,5,1.110319217,Positive
BAJFINANCE,EQ,2017-05-17,1347.75,1350,1374,1297.5,1320,1324.8,1343.51,2408302,3235569756,67508,468034,19.43,2017,5,-1.702838063,Negative
BAJFINANCE,EQ,2017-05-18,1324.8,1299,1343,1296.05,1310.7,1314.55,1325.97,1210985,1605727643,34422,305579,25.23,2017,5,-0.773701691,Slight negative
BAJFINANCE,EQ,2017-05-19,1314.55,1324,1333.9,1265.55,1288,1289.15,1295.81,1167010,1512225878,32394,346261,29.67,2017,5,-1.932220151,Negative
BAJFINANCE,EQ,2017-05-22,1289.15,1299,1304,1237.35,1240,1242.15,1264.99,873873,1105443653,39772,391500,44.8,2017,5,-3.645813133,Among top losers
BAJFINANCE,EQ,2017-05-23,1242.15,1249.9,1265,1190.55,1230.7,1233.75,1231.01,1348383,1659867590,60446,466036,34.56,2017,5,-0.67624683,Slight negative
BAJFINANCE,EQ,2017-05-24,1233.75,1234,1254.9,1210,1225,1224.35,1231.39,787101,969230740.9,42989,266289,33.83,2017,5,-0.761904762,Slight negative
BAJFINANCE,EQ,2017-05-25,1224.35,1230,1268,1228.25,1263,1258.85,1250.15,905807,1132395407,38094,349445,38.58,2017,5,2.817821701,Positive
BAJFINANCE,EQ,2017-05-26,1258.85,1261.7,1326.7,1261.7,1314.85,1317.8,1305.26,1306793,1705701981,40302,456603,34.94,2017,5,4.682845454,Among top gainers
BAJFINANCE,EQ,2017-05-29,1317.8,1319.4,1333,1301.9,1309.95,1307.45,1318.58,652289,860093352.5,24119,192661,29.54,2017,5,-0.785399909,Slight negative
BAJFINANCE,EQ,2017-05-30,1307.45,1305.2,1324.9,1303.7,1322.35,1321.55,1317.44,513005,675851927.4,25635,204921,39.95,2017,5,1.078435122,Positive
BAJFINANCE,EQ,2017-05-31,1321.55,1323,1334.9,1316.1,1329.4,1326.95,1326.64,726284,963517605.6,42248,356399,49.07,2017,5,0.408611101,No change
BAJFINANCE,EQ,2017-06-01,1326.95,1334,1339,1320.25,1323.8,1327.35,1329.35,387968,515743856.4,12771,156031,40.22,2017,6,0.030144316,No change
BAJFINANCE,EQ,2017-06-02,1327.35,1332.4,1365,1318,1362,1361.25,1346.17,668081,899348743.7,21491,198882,29.77,2017,6,2.5539609,Positive
BAJFINANCE,EQ,2017-06-05,1361.25,1368.55,1372.65,1348.05,1361.75,1363.1,1361.85,570009,776267840.1,16609,161674,28.36,2017,6,0.1359045,No change
