,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend,21 moving average,34 moving average,average,std 20,std14,upperband,lowerband,open-close,low-high,5_day_rolling,5_day_rolling_std,Action
0,0,BAJFINANCE,EQ,2017-05-15,1314.75,1323.0,1348.5,1317.65,1332.0,1332.95,1335.96,634195,847257919.7,16701,188623,29.74,2017,5,0.0,No change,,,,,,,,0.7520786092214699,2.3412894167646874,,,1.0
1,1,BAJFINANCE,EQ,2017-05-16,1332.95,1337.4,1358.8,1327.2,1346.0,1347.75,1344.96,788530,1060542484.0,22552,274106,34.76,2017,5,1.110319217,Positive,,,,,,,,0.7738896366083376,2.380952380952374,,,-1.0
2,2,BAJFINANCE,EQ,2017-05-17,1347.75,1350.0,1374.0,1297.5,1320.0,1324.8,1343.51,2408302,3235569756.0,67508,468034,19.43,2017,5,-1.7028380630000002,Negative,,,,,,,,-1.86666666666667,5.895953757225433,,,-1.0
3,3,BAJFINANCE,EQ,2017-05-18,1324.8,1299.0,1343.0,1296.05,1310.7,1314.55,1325.97,1210985,1605727643.0,34422,305579,25.23,2017,5,-0.773701691,Slight negative,,,,,,,,1.1970746728252466,3.6225454264881796,,,-1.0
4,4,BAJFINANCE,EQ,2017-05-19,1314.55,1324.0,1333.9,1265.55,1288.0,1289.15,1295.81,1167010,1512225878.0,32394,346261,29.67,2017,5,-1.932220151,Negative,,,,,,,,-2.632175226586096,5.400813875390158,-0.6596881376000001,1.2538553601369882,-1.0
5,5,BAJFINANCE,EQ,2017-05-22,1289.15,1299.0,1304.0,1237.35,1240.0,1242.15,1264.99,873873,1105443653.0,39772,391500,44.8,2017,5,-3.645813133,Among top losers,,,,,,,,-4.37644341801385,5.386511496342998,-1.3888507642,1.7401132452866728,-1.0
6,6,BAJFINANCE,EQ,2017-05-23,1242.15,1249.9,1265.0,1190.55,1230.7,1233.75,1231.01,1348383,1659867590.0,60446,466036,34.56,2017,5,-0.67624683,Slight negative,,,,,,,,-1.2921033682694687,6.2534122884381205,-1.7461639736000003,1.197452144110145,-1.0
7,7,BAJFINANCE,EQ,2017-05-24,1233.75,1234.0,1254.9,1210.0,1225.0,1224.35,1231.39,787101,969230740.9,42989,266289,33.83,2017,5,-0.761904762,Slight negative,,,,,,,,-0.7820097244732651,3.7107438016529,-1.5579773134000003,1.2772416094302514,1.0
8,8,BAJFINANCE,EQ,2017-05-25,1224.35,1230.0,1268.0,1228.25,1263.0,1258.85,1250.15,905807,1132395407.0,38094,349445,38.58,2017,5,2.817821701,Positive,,,,,,,,2.3455284552845455,3.23631182576837,-0.8396726350000003,2.3705540081865033,1.0
9,9,BAJFINANCE,EQ,2017-05-26,1258.85,1261.7,1326.7,1261.7,1314.85,1317.8,1305.26,1306793,1705701981.0,40302,456603,34.94,2017,5,4.682845454,Among top gainers,,,,,,,,4.446381865736697,5.151779345327732,0.4833404859999996,3.279894533359267,-1.0
10,10,BAJFINANCE,EQ,2017-05-29,1317.8,1319.4,1333.0,1301.9,1309.95,1307.45,1318.58,652289,860093352.5,24119,192661,29.54,2017,5,-0.785399909,Slight negative,,,,,,,,-0.9057147188115844,2.3888163453414166,1.0554231307999995,2.547264828106668,1.0
11,11,BAJFINANCE,EQ,2017-05-30,1307.45,1305.2,1324.9,1303.7,1322.35,1321.55,1317.44,513005,675851927.4,25635,204921,39.95,2017,5,1.078435122,Positive,,,,,,,,1.2526815813668333,1.6261409833550697,1.4063595211999995,2.363276293945768,1.0
12,12,BAJFINANCE,EQ,2017-05-31,1321.55,1323.0,1334.9,1316.1,1329.4,1326.95,1326.64,726284,963517605.6,42248,356399,49.07,2017,5,0.408611101,No change,,,,,,,,0.2985638699924449,1.4284628827596826,1.6404626937999995,2.1424524380489776,1.0
13,13,BAJFINANCE,EQ,2017-06-01,1326.95,1334.0,1339.0,1320.25,1323.8,1327.35,1329.35,387968,515743856.4,12771,156031,40.22,2017,6,0.030144316,No change,,,1297.8142857142855,40.862195376521406,40.862195376521406,1379.5386764673285,1216.0898949612426,-0.4985007496251942,1.4201855709145994,1.0829272167999995,2.122094001374904,1.0
14,14,BAJFINANCE,EQ,2017-06-02,1327.35,1332.4,1365.0,1318.0,1362.0,1361.25,1346.17,668081,899348743.7,21491,198882,29.77,2017,6,2.5539609,Positive,,,1299.8357142857142,43.357824369609794,43.357824369609794,1386.5513630249338,1213.1200655464945,2.165265685980179,3.566009104704097,0.6571503059999996,1.2561081458633694,1.0
15,15,BAJFINANCE,EQ,2017-06-05,1361.25,1368.55,1372.65,1348.05,1361.75,1363.1,1361.85,570009,776267840.1,16609,161674,28.36,2017,6,0.1359045,No change,,,1300.9321428571425,44.83171356538568,44.83171356538568,1390.5955699879141,1211.268715726371,-0.3982317050893315,1.8248581284077101,0.8414111877999997,1.0406988518640639,-1.0
16,16,BAJFINANCE,EQ,2017-06-06,1363.1,1363.4,1367.9,1325.0,1333.65,1336.65,1342.1,601678,807514827.4,22461,242587,40.32,2017,6,-1.940429902,Negative,,,1301.7785714285712,45.424945342186774,45.424945342186774,1392.6284621129446,1210.9286807441974,-1.9620067478362913,3.23773584905661,0.23763818299999967,1.596242987296626,1.0
17,17,BAJFINANCE,EQ,2017-06-07,1336.65,1341.1,1360.0,1335.1,1341.3,1343.15,1346.68,550988,742007098.0,15482,219513,39.84,2017,6,0.486290353,No change,,,1303.8214285714287,46.669536738012035,46.669536738012035,1397.1605020474526,1210.4823550954045,0.15285959287153697,1.8650288367912586,0.25317403339999967,1.598699162420235,1.0
18,18,BAJFINANCE,EQ,2017-06-08,1343.15,1344.9,1372.0,1344.7,1360.0,1361.7,1360.76,570819,776748073.5,19214,220896,38.7,2017,6,1.381081785,Positive,,,1309.0035714285714,48.89022815799348,48.89022815799348,1406.7840277445584,1211.2231151125845,1.2491635065804114,2.0301926080166544,0.5233615271999997,1.6643905250825948,1.0
19,19,BAJFINANCE,EQ,2017-06-09,1361.7,1358.0,1382.0,1343.7,1370.0,1376.85,1367.45,530582,725541900.2,23351,178831,33.7,2017,6,1.112579863,Positive,,,1318.6249999999998,47.9671672565244,47.9671672565244,1414.5593345130485,1222.690665486951,1.3880706921943968,2.850338617250871,0.23508531979999975,1.3123558830973967,-1.0
20,20,BAJFINANCE,EQ,2017-06-12,1376.85,1369.95,1383.0,1356.55,1369.0,1364.95,1367.4,370028,505978055.5,14815,103847,28.06,2017,6,-0.86429168,Slight negative,1317.9547619047619,,1327.9964285714286,42.62876179784711,42.62876179784711,1413.2539521671224,1242.7389049757342,-0.3649768239716778,1.9497991227746894,0.03504608379999975,1.4042637153128612,1.0
